level,arch,app,source_type,sdc_site_mass,share_of_all_sdc_percent
detail,Ampere-RTX3070,Stencil1D,copy_forwarding_transfer,53231689.000000,0.218933
detail,Ampere-RTX3070,Stencil1D,memory_data_propagation,199937060.000000,0.822308
detail,Ampere-RTX3070,Stencil1D,predicate_mediated_selection,4985904.000000,0.020506
detail,Ampere-RTX3070,Stencil1D,scalar_computation_transfer,77731749.000000,0.319698
detail,Ampere-RTX3070,Stencil1D,valid_address_substitution,12712769.000000,0.052285
detail,Turing-RTX2060,AdamW,copy_forwarding_transfer,19259845.000000,0.079213
detail,Turing-RTX2060,AdamW,memory_data_propagation,90519596.000000,0.372292
detail,Turing-RTX2060,AdamW,predicate_mediated_selection,1584972.000000,0.006519
detail,Turing-RTX2060,AdamW,scalar_computation_transfer,59648467.000000,0.245324
detail,Turing-RTX2060,AdamW,valid_address_substitution,5041230.000000,0.020734
detail,Turing-RTX2060,Attention,copy_forwarding_transfer,163503068.000000,0.672461
detail,Turing-RTX2060,Attention,memory_data_propagation,1878638072.000000,7.726525
detail,Turing-RTX2060,Attention,predicate_mediated_selection,185944506.000000,0.764759
detail,Turing-RTX2060,Attention,scalar_computation_transfer,664652514.000000,2.733605
detail,Turing-RTX2060,Attention,valid_address_substitution,961392.000000,0.003954
detail,Turing-RTX2060,Convolution1D,copy_forwarding_transfer,82471984.000000,0.339194
detail,Turing-RTX2060,Convolution1D,memory_data_propagation,185720493.000000,0.763837
detail,Turing-RTX2060,Convolution1D,predicate_mediated_selection,2655198.000000,0.010920
detail,Turing-RTX2060,Convolution1D,scalar_computation_transfer,251064897.000000,1.032588
detail,Turing-RTX2060,Convolution1D,valid_address_substitution,9237155.000000,0.037991
detail,Turing-RTX2060,Dijkstra,copy_forwarding_transfer,1946412.000000,0.008005
detail,Turing-RTX2060,Dijkstra,memory_data_propagation,21149410.000000,0.086984
detail,Turing-RTX2060,Dijkstra,predicate_mediated_selection,1086096.000000,0.004467
detail,Turing-RTX2060,Dijkstra,scalar_computation_transfer,5239885.000000,0.021551
detail,Turing-RTX2060,Dijkstra,valid_address_substitution,447624.000000,0.001841
detail,Turing-RTX2060,GESpmm,copy_forwarding_transfer,19701639.000000,0.081030
